pitch;roll;lado;movimento;sessao
0.0021130145;0.002698958;E;Repouso;1473745632
-0.006175995;-0.0021970272;E;Repouso;1473745632
-0.015906006;-0.0060340166;D;Repouso;1473745632
-0.005827993;0.004435003;E;Repouso;1473745632
-0.012510002;-0.009074032;D;Repouso;1473745632
-0.0031699985;0.0044769645;E;Repouso;1473745632
-0.0138799995;-0.010601044;D;Repouso;1473745632
-0.00036799908;-0.0057150126;E;Repouso;1473745632
-0.010444;-0.0049140453;D;Repouso;1473745632
-0.0017759949;-0.002177;E;Repouso;1473745632
-0.013266996;-0.0013940334;D;Repouso;1473745632
-0.0027089864;0.009725988;E;Repouso;1473745632
-0.012658;0.001726985;D;Repouso;1473745632
-0.0023769885;-0.0045950413;E;Repouso;1473745632
-0.007381007;-0.00090003014;D;Repouso;1473745632
-0.0017479956;0.0016049743;E;Repouso;1473745632
-0.0050040036;0.0036489964;D;Repouso;1473745632
-0.0030989945;-0.0026820302;E;Repouso;1473745632
-0.004612997;0.0052160025;D;Repouso;1473745632
-0.424357;-0.101114035;E;Dorsiflexao;1473745632
-0.458058;0.16961598;D;Dorsiflexao;1473745632
-0.42692202;-0.09496403;E;Dorsiflexao;1473745632
-0.462088;0.14869094;D;Dorsiflexao;1473745632
-0.398982;-0.090492964;E;Dorsiflexao;1473745632
-0.34168398;0.15420902;D;Dorsiflexao;1473745632
-0.41124803;-0.085613966;E;Dorsiflexao;1473745632
-0.45429403;0.14161599;D;Dorsiflexao;1473745632
-0.424677;-0.07678306;E;Dorsiflexao;1473745632
-0.41763204;0.14773703;D;Dorsiflexao;1473745632
-0.41420203;-0.092388034;E;Dorsiflexao;1473745632
-0.436598;0.15488398;D;Dorsiflexao;1473745632
-0.41509998;-0.08108497;E;Dorsiflexao;1473745632
-0.42996705;0.14770198;D;Dorsiflexao;1473745632
-0.41877103;-0.08210802;E;Dorsiflexao;1473745632
-0.422763;0.15144992;D;Dorsiflexao;1473745632
-0.403288;-0.07964599;E;Dorsiflexao;1473745632
-0.429047;0.154724;D;Dorsiflexao;1473745632
-0.416906;-0.08098996;E;Dorsiflexao;1473745632
-0.425735;0.15373695;D;Dorsiflexao;1473745632
0.44506103;-0.313964;E;Flexao;1473745632
0.335109;0.18491602;D;Flexao;1473745632
0.45714903;-0.21314907;E;Flexao;1473745632
0.355267;0.13439894;D;Flexao;1473745632
0.43359601;-0.25584304;E;Flexao;1473745632
0.361969;0.212767;D;Flexao;1473745632
0.42394102;-0.24008703;E;Flexao;1473745632
0.389339;0.131006;D;Flexao;1473745632
0.441801;-0.22132301;E;Flexao;1473745632
0.370024;0.15073001;D;Flexao;1473745632
0.432943;-0.226722;E;Flexao;1473745632
0.36566;0.18835795;D;Flexao;1473745632
0.443415;-0.19741905;E;Flexao;1473745632
0.37272698;0.177091;D;Flexao;1473745632
0.450531;-0.21867406;E;Flexao;1473745632
0.362778;0.17629695;D;Flexao;1473745632
0.424657;-0.22293699;E;Flexao;1473745632
0.37329698;0.15739;D;Flexao;1473745632
0.42768103;-0.21109402;E;Flexao;1473745632
0.36304;0.17888403;D;Flexao;1473745632
0.039111003;0.949726;E;Eversao;1473745632
0.013200998;-0.557627;D;Eversao;1473745632
0.036126003;0.42598397;E;Eversao;1473745632
0.010761991;-0.564184;D;Eversao;1473745632
0.047017008;0.47471;E;Eversao;1473745632
0.012497991;-0.59346604;D;Eversao;1473745632
0.03321801;0.41342998;E;Eversao;1473745632
0.008472994;-0.48754302;D;Eversao;1473745632
0.035615012;0.42092597;E;Eversao;1473745632
0.016474992;-0.941784;D;Eversao;1473745632
0.034675002;0.42121696;E;Eversao;1473745632
0.01603499;-0.566627;D;Eversao;1473745632
0.030809;0.374744;E;Eversao;1473745632
0.013586;-0.551062;D;Eversao;1473745632
0.030330002;0.40265697;E;Eversao;1473745632
0.013673991;-0.641784;D;Eversao;1473745632
0.031610012;0.409455;E;Eversao;1473745632
0.012771994;-0.52809;D;Eversao;1473745632
0.029066011;0.38462496;E;Eversao;1473745632
0.016296998;-0.52796805;D;Eversao;1473745632
0.035457;-0.90955305;E;Inversao;1473745632
0.042348996;1.0308499;D;Inversao;1473745632
0.077279;-1.038274;E;Inversao;1473745632
0.010673001;0.058215976;D;Inversao;1473745632
0.086950004;-1.1032389;E;Inversao;1473745632
0.0374;1.0946099;D;Inversao;1473745632
0.07873501;-1.1110121;E;Inversao;1473745632
0.045444995;1.1793469;D;Inversao;1473745632
0.076873004;-1.121914;E;Inversao;1473745632
0.020950004;1.150644;D;Inversao;1473745632
0.074689;-1.06855;E;Inversao;1473745632
0.01875399;1.114103;D;Inversao;1473745632
0.077580005;-1.09678;E;Inversao;1473745632
0.017824993;1.104751;D;Inversao;1473745632
0.07981101;-1.080274;E;Inversao;1473745632
0.020411998;1.058216;D;Inversao;1473745632
0.070884004;-1.0849601;E;Inversao;1473745632
0.012733996;1.1070539;D;Inversao;1473745632
0.07232201;-1.0815519;E;Inversao;1473745632
0.018271998;1.085266;D;Inversao;1473745632
0.00003400445;0.005576968;E;Repouso;1473745632
-0.009833008;-0.016203046;D;Repouso;1473745632
0.0026740134;0.008867979;E;Repouso;1473745632
-0.012636006;-0.014444053;D;Repouso;1473745632
0.0014830083;0.0078099966;E;Repouso;1473745632
-0.013687998;-0.008718014;D;Repouso;1473745632
0.0048760027;0.007743001;E;Repouso;1473745632
-0.008768007;-0.012869;D;Repouso;1473745632
0.0011160076;0.009171009;E;Repouso;1473745632
-0.009851009;-0.010749042;D;Repouso;1473745632
0.00386101;0.0055130124;E;Repouso;1473745632
-0.009144008;-0.010429025;D;Repouso;1473745632
0.0029170066;0.006431997;E;Repouso;1473745632
-0.007933006;-0.011382997;D;Repouso;1473745632
0.00036901236;0.008279979;E;Repouso;1473745632
-0.008712009;-0.012237012;D;Repouso;1473745632
0.0007920116;0.0072900057;E;Repouso;1473745632
-0.009595007;-0.0076770186;D;Repouso;1473745632
0.0026970059;0.009535015;E;Repouso;1473745632
-0.0124659985;-0.011010051;D;Repouso;1473745632
-0.445372;-0.111500025;E;Dorsiflexao;1473745632
-0.444066;0.066085935;D;Dorsiflexao;1473745632
-0.41942602;-0.08002007;E;Dorsiflexao;1473745632
-0.457268;0.08153093;D;Dorsiflexao;1473745632
-0.440076;-0.12471104;E;Dorsiflexao;1473745632
-0.476785;0.07014096;D;Dorsiflexao;1473745632
-0.43319;-0.07282007;E;Dorsiflexao;1473745632
-0.458502;0.07624698;D;Dorsiflexao;1473745632
-0.43475002;-0.10235107;E;Dorsiflexao;1473745632
-0.450737;0.083534;D;Dorsiflexao;1473745632
-0.41913998;-0.103425026;E;Dorsiflexao;1473745632
-0.454163;0.089589;D;Dorsiflexao;1473745632
-0.43667;-0.11241698;E;Dorsiflexao;1473745632
-0.47720504;0.076223016;D;Dorsiflexao;1473745632
-0.438847;-0.11338496;E;Dorsiflexao;1473745632
-0.465775;0.08825803;D;Dorsiflexao;1473745632
-0.438981;-0.09916699;E;Dorsiflexao;1473745632
-0.469164;0.08637595;D;Dorsiflexao;1473745632
-0.43961102;-0.09193599;E;Dorsiflexao;1473745632
-0.46965903;0.08386397;D;Dorsiflexao;1473745632
0.479599;-0.300094;E;Flexao;1473745632
0.39583498;0.071556926;D;Flexao;1473745632
0.48909098;-0.27328396;E;Flexao;1473745632
0.393457;0.074048996;D;Flexao;1473745632
0.531821;-0.21790099;E;Flexao;1473745632
0.40512097;0.15825093;D;Flexao;1473745632
0.500046;-0.277488;E;Flexao;1473745632
0.388147;0.10006702;D;Flexao;1473745632
0.477781;-0.22013497;E;Flexao;1473745632
0.372514;0.14294195;D;Flexao;1473745632
0.480237;-0.26965606;E;Flexao;1473745632
0.394489;0.15075397;D;Flexao;1473745632
0.508344;-0.25542903;E;Flexao;1473745632
0.386684;0.124068975;D;Flexao;1473745632
0.47879398;-0.24999106;E;Flexao;1473745632
0.379123;0.12054002;D;Flexao;1473745632
0.478751;-0.26204503;E;Flexao;1473745632
0.380588;0.13690603;D;Flexao;1473745632
